query,model,score
brown formal boots for women,Vector Search (LLM),0.7541687309741973
brown formal boots for women,Baseline,0.7632835388183594
gray casual jeans unisex,Vector Search (LLM),0.8556848108768463
gray casual jeans unisex,Baseline,0.8551776647567749
blue sportswear scarf for women,Vector Search (LLM),0.8548552393913269
blue sportswear scarf for women,Baseline,0.8151362180709839
white linen suit unisex,Vector Search (LLM),0.7742767095565796
white linen suit unisex,Baseline,0.7558040916919708
beige casual dress for men,Vector Search (LLM),0.8260752201080322
beige casual dress for men,Baseline,0.7508173823356629
green linen blazer unisex,Vector Search (LLM),0.817772650718689
green linen blazer unisex,Baseline,0.8071875035762787
red formal scarf unisex,Vector Search (LLM),0.7701542019844055
red formal scarf unisex,Baseline,0.8571859776973725
beige slim fit scarf unisex,Vector Search (LLM),0.8653090536594391
beige slim fit scarf unisex,Baseline,0.8656291246414185
gray slim fit blazer for women,Vector Search (LLM),0.897077602148056
gray slim fit blazer for women,Baseline,0.8566398084163666
blue sportswear coat for women,Vector Search (LLM),0.8476497888565063
blue sportswear coat for women,Baseline,0.7957493543624878
brown leather trousers unisex,Vector Search (LLM),0.8005158483982087
brown leather trousers unisex,Baseline,0.7784988105297088
brown oversized skirt for women,Vector Search (LLM),0.7659057736396789
brown oversized skirt for women,Baseline,0.80088170170784
gray leather jeans for kids,Vector Search (LLM),0.8574509561061859
gray leather jeans for kids,Baseline,0.81558176279068
white formal t-shirt unisex,Vector Search (LLM),0.8915311336517334
white formal t-shirt unisex,Baseline,0.8686628043651581
black cotton coat for women,Vector Search (LLM),0.8449813544750213
black cotton coat for women,Baseline,0.8393610298633576
white formal suit for kids,Vector Search (LLM),0.7756428360939026
white formal suit for kids,Baseline,0.7485349833965301
beige sportswear sneakers unisex,Vector Search (LLM),0.8869859039783478
beige sportswear sneakers unisex,Baseline,0.8556914806365967
orange denim blazer for kids,Vector Search (LLM),0.8001747131347656
orange denim blazer for kids,Baseline,0.772840678691864
orange casual coat for kids,Vector Search (LLM),0.8314160346984864
orange casual coat for kids,Baseline,0.806229168176651
orange formal blazer for men,Vector Search (LLM),0.855828583240509
orange formal blazer for men,Baseline,0.7873933792114258
yellow denim hoodie for kids,Vector Search (LLM),0.8247228682041168
yellow denim hoodie for kids,Baseline,0.8655893981456757
blue denim coat for men,Vector Search (LLM),0.8464505791664123
blue denim coat for men,Baseline,0.8465077400207519
orange denim boots for women,Vector Search (LLM),0.7831966757774353
orange denim boots for women,Baseline,0.7982541978359222
green leather jacket for kids,Vector Search (LLM),0.7257881760597229
green leather jacket for kids,Baseline,0.7664256930351258
black linen trousers for kids,Vector Search (LLM),0.8367488503456115
black linen trousers for kids,Baseline,0.8215927839279175
brown cotton hoodie unisex,Vector Search (LLM),0.8629188060760498
brown cotton hoodie unisex,Baseline,0.7896470546722412
yellow cotton jeans for women,Vector Search (LLM),0.8118751585483551
yellow cotton jeans for women,Baseline,0.8088101863861084
white sportswear blazer unisex,Vector Search (LLM),0.8464504897594451
white sportswear blazer unisex,Baseline,0.8218920826911926
yellow wool boots for women,Vector Search (LLM),0.7242528080940247
yellow wool boots for women,Baseline,0.7943182468414307
blue formal skirt for kids,Vector Search (LLM),0.7763530492782593
blue formal skirt for kids,Baseline,0.7924772381782532
gray linen skirt for men,Vector Search (LLM),0.7553504943847656
gray linen skirt for men,Baseline,0.7565316259860992
gray linen skirt for women,Vector Search (LLM),0.7309842586517334
gray linen skirt for women,Baseline,0.798291951417923
white formal trousers for kids,Vector Search (LLM),0.7905968964099884
white formal trousers for kids,Baseline,0.8271063148975373
orange oversized sneakers for kids,Vector Search (LLM),0.7863419592380524
orange oversized sneakers for kids,Baseline,0.7834120213985443
gray linen hoodie unisex,Vector Search (LLM),0.8247693121433258
gray linen hoodie unisex,Baseline,0.7936881124973297
gray denim hoodie unisex,Vector Search (LLM),0.8101083099842071
gray denim hoodie unisex,Baseline,0.8219212770462037
yellow slim fit shoes for kids,Vector Search (LLM),0.79285147190094
yellow slim fit shoes for kids,Baseline,0.7810210764408112
green leather blazer unisex,Vector Search (LLM),0.7762569069862366
green leather blazer unisex,Baseline,0.7785669684410095
green leather shoes for men,Vector Search (LLM),0.7496185183525086
green leather shoes for men,Baseline,0.7383931279182434
yellow formal blazer for kids,Vector Search (LLM),0.8194611251354218
yellow formal blazer for kids,Baseline,0.7646888136863709
blue sportswear suit for kids,Vector Search (LLM),0.7743707895278931
blue sportswear suit for kids,Baseline,0.7802894830703735
blue wool shoes for kids,Vector Search (LLM),0.7217024385929107
blue wool shoes for kids,Baseline,0.7909982800483704
orange cotton skirt for men,Vector Search (LLM),0.7157736837863922
orange cotton skirt for men,Baseline,0.7909889876842499
